scale,ncc,meanpat,stdpat,nlinks,fclust
0.010000,2433,14.348541,53.289711,2522,0.987419
0.012041,2422,14.413708,53.407078,2546,0.982955
0.014497,2411,14.479469,53.764812,2570,0.978490
0.017456,2395,14.576200,53.950821,2606,0.971997
0.021017,2362,14.779847,56.654533,2674,0.958604
0.025306,2334,14.957155,57.663120,2732,0.947240
0.030470,2240,15.584822,59.664543,2946,0.909091
0.036687,2125,16.428236,64.050377,3222,0.862419
0.044173,1989,17.551533,76.210014,3644,0.807224
0.053187,1810,19.287292,91.503433,4246,0.734578
0.064040,1605,21.750778,122.055359,5098,0.651380
0.077108,1362,25.631424,156.967270,6522,0.552760
0.092841,1146,30.462479,190.357101,8314,0.465097
0.111786,962,36.288982,246.754929,10776,0.390422
0.134596,815,42.834354,323.294800,14112,0.330763
0.162061,671,52.026825,370.330353,18854,0.272321
0.195129,549,63.588341,450.167114,25376,0.222808
0.234946,471,74.118896,492.887970,33914,0.191153
0.282887,414,84.323669,548.221130,45188,0.168019
0.340611,345,101.188408,706.947510,59412,0.140016
0.410113,300,116.366669,764.233582,77664,0.121753
0.493797,249,140.200806,842.840393,99562,0.101055
0.594557,206,169.466019,930.917480,125580,0.083604
0.715877,158,220.949371,1100.312988,155208,0.064123
0.861953,112,311.696442,1628.134155,188240,0.045455
1.037837,77,453.376617,2290.380127,226044,0.031250
1.249609,59,591.694885,2647.129395,270912,0.023945
1.504594,40,872.750000,3444.397705,326336,0.016234
1.811609,22,1586.818237,4728.691406,396544,0.008929
2.181271,16,2181.875000,5447.570312,480168,0.006494
2.626363,10,3491.000000,6847.229004,580012,0.004058
3.162277,8,4363.750000,7493.552734,712846,0.003247
